,original_name,url,artist_id
mononc' serge,Mononc' Serge,https://open.spotify.com/artist/35BsDVEPHGqz4fPhlRJHB1,35BsDVEPHGqz4fPhlRJHB1
oklahoma blood,Oklahoma Blood,https://open.spotify.com/artist/3VWtc8vkXd485dITC0fiUn,3VWtc8vkXd485dITC0fiUn
symphony of heaven,Symphony of Heaven,https://open.spotify.com/artist/0Z89pkvtCeYDMqnprmJHDJ,0Z89pkvtCeYDMqnprmJHDJ
into nothing,Into Nothing,https://open.spotify.com/artist/2KnXs7VOvfp1D0GZPz58xT,2KnXs7VOvfp1D0GZPz58xT
eyesawgod,Eyesawgod,https://open.spotify.com/artist/3EON09HWo5VbmyRZBh39q7,3EON09HWo5VbmyRZBh39q7
haggus,Haggus,https://open.spotify.com/artist/16wnsPfzB98xYLLSJLPh3e,16wnsPfzB98xYLLSJLPh3e
officer down,Officer Down,https://open.spotify.com/artist/4jPzFlLY7SSkYi6LpEGtlN,4jPzFlLY7SSkYi6LpEGtlN
sick solution,Sick Solution,https://open.spotify.com/artist/5I8Ea6B50cE6NR6HL6BHa6,5I8Ea6B50cE6NR6HL6BHa6
admire the grim,Admire the Grim,https://open.spotify.com/artist/02jaI5XYUmrDbYrk7I0W02,02jaI5XYUmrDbYrk7I0W02
nouri yetgin,Nouri Yetgin,https://open.spotify.com/artist/4QWhRZYvNeYXSBkfW9hCap,4QWhRZYvNeYXSBkfW9hCap
tracheotomy,Tracheotomy,https://open.spotify.com/artist/54e41DCKjcJiMGf3D4mH6L,54e41DCKjcJiMGf3D4mH6L
ziplock,ZIPLOCK,https://open.spotify.com/artist/653R6cmT8tA6ba0IJ4ZsgN,653R6cmT8tA6ba0IJ4ZsgN
greens on toast,Greens On Toast,https://open.spotify.com/artist/6mPXPuAm0BOiXPbvqUveqC,6mPXPuAm0BOiXPbvqUveqC
krosis,Krosis,https://open.spotify.com/artist/7gfEb4adETwNZgWLUlcHQy,7gfEb4adETwNZgWLUlcHQy
expellow,Expellow,https://open.spotify.com/artist/7n7ZqJDzdKrZul0UjAWUhC,7n7ZqJDzdKrZul0UjAWUhC
heartless fendi,Heartless Fendi,https://open.spotify.com/artist/5PQ6Mx3EaC75kwZq0P9JK5,5PQ6Mx3EaC75kwZq0P9JK5
andy strider,Andy Strider,https://open.spotify.com/artist/3JSA46GzPRMj9nev5VqSEg,3JSA46GzPRMj9nev5VqSEg
actus reus,Actus Reus,https://open.spotify.com/artist/4C4RlxUxFJDNAtJRRyIsBK,4C4RlxUxFJDNAtJRRyIsBK
faceless enemy,Faceless Enemy,https://open.spotify.com/artist/45RPXUbkBXzBcGJwfQQ044,45RPXUbkBXzBcGJwfQQ044
harbored dreams,Harbored Dreams,https://open.spotify.com/artist/14WeLfhJinpzcn2uzwW1fC,14WeLfhJinpzcn2uzwW1fC
scavenger's daughter,Scavenger's Daughter,https://open.spotify.com/artist/2d4CFhAXVh0fjoZnRMB9Rz,2d4CFhAXVh0fjoZnRMB9Rz
ingurgitating oblivion,Ingurgitating Oblivion,https://open.spotify.com/artist/3mcu8G0HBrlj0zlmvAjEwt,3mcu8G0HBrlj0zlmvAjEwt
never.dc,Never.dc,https://open.spotify.com/artist/4XZ71fL4sNKh4tCSdqxgNQ,4XZ71fL4sNKh4tCSdqxgNQ
floscule,Floscule,https://open.spotify.com/artist/3myXeA61vpk5Rm2ReaipNL,3myXeA61vpk5Rm2ReaipNL
monumentum damnati,Monumentum Damnati,https://open.spotify.com/artist/15BMlJVtfIePlmiPbWA0bV,15BMlJVtfIePlmiPbWA0bV
counter attack id,Counter Attack ID,https://open.spotify.com/artist/5AOm8VP68OyRJkqBp8qJfb,5AOm8VP68OyRJkqBp8qJfb
scalp scrape,Scalp Scrape,https://open.spotify.com/artist/5BNj63TsPEbWkguDIbQJF4,5BNj63TsPEbWkguDIbQJF4
lament ov lilith,Lament Ov Lilith,https://open.spotify.com/artist/5lHk90ZAT3LJEgFCRVAiom,5lHk90ZAT3LJEgFCRVAiom
chaos must bow,Chaos Must Bow,https://open.spotify.com/artist/1ZcfyGwv6tsXg5mrxbQ3Oa,1ZcfyGwv6tsXg5mrxbQ3Oa
dezert,DEZERT,https://open.spotify.com/artist/0h2eYJXbXb0n9hBf3NgfGh,0h2eYJXbXb0n9hBf3NgfGh
may forth,May Forth,https://open.spotify.com/artist/6MYn2A1crz0GWAqp2Ctyxj,6MYn2A1crz0GWAqp2Ctyxj
hell let loose,Hell Let Loose,https://open.spotify.com/artist/0N2zUjBNKcrKhtpkpjvJi7,0N2zUjBNKcrKhtpkpjvJi7
beastplague,Beastplague,https://open.spotify.com/artist/09KXghiszxu6gx1nxwufLm,09KXghiszxu6gx1nxwufLm
a ghost of flare,A Ghost Of Flare,https://open.spotify.com/artist/0EEhMPSek1fEqWlXbNZB8X,0EEhMPSek1fEqWlXbNZB8X
von spriggan,Von Spriggan,https://open.spotify.com/artist/0ETqTTpMXgqLvMoe9gemNa,0ETqTTpMXgqLvMoe9gemNa
snake father,Snake Father,https://open.spotify.com/artist/6FZ2uzntEihvFpuxVv7i8r,6FZ2uzntEihvFpuxVv7i8r
chained saint,Chained Saint,https://open.spotify.com/artist/6JChzL9HQEspINhiTqSURd,6JChzL9HQEspINhiTqSURd
submerged,Submerged,https://open.spotify.com/artist/21y70tZeaitnjtvs52wjBk,21y70tZeaitnjtvs52wjBk
